Stagionalita,,FER,FER,FER,FEST,FER,FER,SCO,FEST,FER,FER,SCO,,FER,FER,,FER,FER,,FER,FER,,FER,FER,,FER,FER,,FER,FER,,FER,FER,FER,,FER,FER,,FER,FER,,FER,FER,,FER,FER,FER,FER,,FER,FER,FER,FER,,FER,FER,,FER,,FER,,FER,,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,,,,,,,,,,,,,,,,
Note,,,,,#,,,Scol,,,,Scol,,,,#,,,,,,#,,,,,,#,,,,,,,#,,,,,,#,,,,,,,,#,,,,,,,,#,,,,K,K,K,K,K,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,,,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,
TORINO - Aeroporto (Caselle),5:10,6:10,6:10,6:30,6:35,6:45,6:50,7:00,7:00,7:05,7:05,7:10,7:25,,7:45,8:00,8:00,8:15,8:30,9:00,9:00,9:30,10:00,10:00,10:30,11:00,11:00,11:30,12:00,12:00,12:30,13:00,13:00,13:30,14:00,14:00,14:30,15:00,15:00,15:30,16:00,16:00,16:30,17:00,17:00,17:30,18:00,18:00,18:30,19:00,19:00,19:40,20:00,20:30,21:00,21:30,22:00,22:30,23:15,23:30,23:45,8:45,9:15,9:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,18:15,18:45,19:20,20:00,21:00,22:00,23:00,7:30,8:30,9:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30,20:30,21:30,22:30,0:00,0:00
CASELLE T.SE - str.Aerop. (fronte n° 36),5:13,6:13,6:13,6:33,6:38,6:48,6:53,7:03,7:03,7:08,7:08,7:13,7:28,7:38,7:48,8:03,8:03,8:18,8:33,9:03,9:03,9:33,10:03,10:03,10:33,11:03,11:03,11:33,12:03,12:03,12:33,13:03,13:03,13:33,14:03,14:03,14:33,15:03,15:03,15:33,16:03,16:03,16:33,17:03,17:03,17:33,18:03,18:03,18:33,19:03,19:03,19:43,20:03,20:33,21:03,21:33,22:03,22:33,23:18,23:33,23:48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0:03,0:03
CASELLE T.SE - via Torino (fronte n° 99),5:15,6:15,6:15,6:35,6:40,6:50,6:55,7:05,7:05,7:10,7:10,7:15,7:30,7:40,7:50,8:05,8:05,8:20,8:35,9:05,9:05,9:35,10:05,10:05,10:35,11:05,11:05,11:35,12:05,12:05,12:35,13:05,13:05,13:35,14:05,14:05,14:35,15:05,15:05,15:35,16:05,16:05,16:35,17:05,17:05,17:35,18:05,18:05,18:35,19:05,19:05,19:45,20:05,20:35,21:05,21:35,22:05,22:35,23:20,23:35,23:50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0:05,0:05
"BORGARO T.SE - via Lanzo, 157",5:22,6:22,6:22,6:42,6:47,6:57,7:02,7:12,7:12,7:17,7:17,7:22,7:37,7:47,7:57,8:12,8:12,8:27,8:42,9:12,9:12,9:42,10:12,10:12,10:42,11:12,11:12,11:42,12:12,12:12,12:42,13:12,13:12,13:42,14:12,14:12,14:42,15:12,15:12,15:42,16:12,16:12,16:42,17:12,17:12,17:42,18:12,18:12,18:42,19:12,19:12,19:52,20:12,20:42,21:12,21:42,22:12,22:42,23:27,23:42,23:57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0:12,0:12
"TO - Str Aeroporto (Ferm.""VERONESE"")",5:32,6:32,6:32,6:52,6:57,7:07,7:12,7:22,7:22,7:27,7:27,7:32,7:47,7:57,8:07,8:22,8:22,8:37,8:52,9:22,9:22,9:52,10:22,10:22,10:52,11:22,11:22,11:52,12:22,12:22,12:52,13:22,13:22,13:52,14:22,14:22,14:52,15:22,15:22,15:52,16:22,16:22,16:52,17:22,17:22,17:52,18:22,18:22,18:52,19:22,19:22,20:02,20:22,20:52,21:22,21:52,22:22,22:52,23:37,23:52,0:07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0:22,0:22
TO – via Stradella,5:35,6:35,6:35,6:55,7:00,7:10,7:15,7:25,7:25,7:30,7:30,7:35,7:50,8:00,8:10,8:25,8:25,8:40,8:55,9:25,9:25,9:55,10:25,10:25,10:55,11:25,11:25,11:55,12:25,12:25,12:55,13:25,13:25,13:55,14:25,14:25,14:55,15:25,15:25,15:55,16:25,16:25,16:55,17:25,17:25,17:55,18:25,18:25,18:55,19:25,19:25,20:05,20:25,20:55,21:25,21:55,22:25,22:55,23:40,23:55,0:10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0:25,0:25
TORINO - c.so Umbria/via Livorno,5:40,6:40,6:40,7:00,7:05,7:15,7:20,7:30,7:30,7:35,7:35,7:40,7:55,8:05,8:15,8:30,8:30,8:45,9:00,9:30,9:30,10:00,10:30,10:30,11:00,11:30,11:30,12:00,12:30,12:30,13:00,13:30,13:30,14:00,14:30,14:30,15:00,15:30,15:30,16:00,16:30,16:30,17:00,17:30,17:30,18:00,18:30,18:30,19:00,19:30,19:30,20:10,20:30,21:00,21:30,22:00,22:30,23:00,23:45,0:00,0:15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0:30,0:30
TO - Via Stampini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORINO - Porta Susa,5:45,6:45,6:45,7:05,7:10,7:20,7:25,7:35,7:35,7:40,7:40,7:45,8:00,8:10,8:20,8:35,8:35,8:50,9:05,9:35,9:35,10:05,10:35,10:35,11:05,11:35,11:35,12:05,12:35,12:35,13:05,13:35,13:35,14:05,14:35,14:35,15:05,15:35,15:35,16:05,16:35,16:35,17:05,17:35,17:35,18:05,18:35,18:35,19:05,19:35,19:35,20:15,20:35,21:05,21:35,22:05,22:35,23:05,23:50,0:05,0:20,9:14,9:44,10:14,10:44,11:14,11:44,12:14,12:44,13:14,13:44,14:14,14:44,15:14,15:44,16:14,16:44,17:14,17:44,18:14,18:44,19:14,19:49,20:29,21:29,22:29,23:29,7:59,8:59,9:59,10:59,11:59,12:59,13:59,14:59,15:59,16:59,17:59,18:59,19:59,20:59,21:59,22:59,0:35,0:35
TORINO - Porta Nuova,5:55,6:55,6:55,7:15,7:20,7:30,7:35,7:45,7:45,7:50,7:50,7:55,8:10,8:20,8:30,8:45,8:45,9:00,9:15,9:45,9:45,10:15,10:45,10:45,11:15,11:45,11:45,12:15,12:45,12:45,13:15,13:45,13:45,14:15,14:45,14:45,15:15,15:45,15:45,16:15,16:45,16:45,17:15,17:45,17:45,18:15,18:45,18:45,19:15,19:45,19:45,20:25,20:45,21:15,21:45,22:15,22:45,23:15,0:00,0:15,0:30,9:24,9:54,10:24,10:54,11:24,11:54,12:24,12:54,13:24,13:54,14:24,14:54,15:24,15:54,16:24,16:54,17:24,17:54,18:24,18:54,19:24,19:59,20:39,21:39,22:39,23:39,8:09,9:09,10:09,11:09,12:09,13:09,14:09,15:09,16:09,17:09,18:09,19:09,20:09,21:09,22:09,23:09,0:45,0:45
