Codice_Turno,Nome_Turno,Deposito,Giorno,Turno_Ora_Inizio,Turno_Ora_Fine,Corsa_Linea,Corsa_Da,Corsa_A,Corsa_Ora_Partenza,Corsa_Ora_Arrivo
,,Torino - Deposito,Giovedì,06:15,15:38,266,Torino - C.So Maroncelli,Rondissone - P.Za Roma,06:55,07:59
,,Torino - Deposito,Giovedì,06:15,15:38,266,Rondissone - P.Za Roma,PAUSA 08:52 -,08:01,12:45
,,Torino - Deposito,Giovedì,06:15,15:38,277,Beinasco (banca sanpaolo),PAUSA 13:55 -,13:05,14:30
,,Torino - Deposito,Giovedì,14:56,23:56,265,TORINO - Autostazione c.s .................1..5...:.3...6.... .P..e..r..o..s.a.. .-. .D...e..p..o..s..i.t.o,Ivrea - Loc Banchette .........................1...6...:.3..7..... .A..i.r.a..s..c..a.. -.. .s.t..a..b..i.li.m....e..n..t.o.. .s..k..f,21:50,22:30
,,Torino - Deposito,Giovedì,14:56,23:56,265,Ivrea - Loc Banchette .........................1...6...:.3..9..... .A..i.r.a..s..c..a.. -.. .s.t..a..b..i.li.m....e..n..t.o.. .s..k,Ivrea - Porta Vercelli ...........................1..6...:.4...4.... .T..o.. .-. .C....S..o.. .F..r..a..n..c.i.a../..V..i.a.. .P..a..s,22:30,23:15
,,Torino - Deposito,Giovedì,14:56,23:56,265,Ivrea - Porta Vercelli ...........................1..6...:.5...5.... .T..o.. .-. .C....S..o.. .F..r..a..n..c.i.a../..V..i.a.. .P..a..s,PAUSA 18:06 -,23:15,19:41
,,Torino - Deposito,Giovedì,14:56,23:56,275,TORINO - Autostazione c.s,Pinerolo - Piazza Cavour,19:41,20:50
,,Torino - Deposito,Giovedì,14:56,23:56,275,Pinerolo - Piazza Cavour,Perosa Arg.-Pzza Terzo Al,20:50,21:20
,,Torino - Deposito,Giovedì,11:31,19:05,121,To - lungo dora firenze,Rondissone - P.Zza Roma,12:11,17:21
,,Torino - Deposito,Giovedì,11:31,19:05,277,TO - via Accademia Albert,TO - via Accademia Albert,12:25,12:25
,,Torino - Deposito,Giovedì,11:31,19:05,121,Fca-Mopar (L.Go Sen. Agnelli),MOPAR FCA - Via Primo Maggio C,13:25,13:46
,,Torino - Deposito,Giovedì,11:31,19:05,121,MOPAR FCA - Via Primo Mag,Fca-Mopar (L.Go Sen. Agnelli),14:15,14:35
,,Torino - Deposito,Giovedì,11:31,19:05,277,Fca-Mopar (L.Go Sen. Agnelli),Via Accademia Albertina,14:35,15:35
,,Torino - Deposito,Giovedì,11:31,19:05,121,Via Accademia Albertina,To - lungo dora firenze,15:35,15:48
,,Torino - Deposito,Giovedì,04:00,09:20,119,To - viale dei mughetti,To - Cso Vittorio 169-Via,04:40,05:09
,,Torino - Deposito,Giovedì,04:00,09:20,277,To - Cso Vittorio 169-Via,PAUSA 05:50 -,05:09,06:30
,,Torino - Deposito,Giovedì,04:00,09:20,277,Airasca - stabilimento sk,To - via napione - corso,06:30,07:19
,,Torino - Deposito,Giovedì,04:00,09:20,119,To - via napione - corso,TO - M.D'Azeglio Cap,07:19,07:59
,,Torino - Deposito,Giovedì,04:00,09:20,105,TO - M.D'Azeglio Cap,Torino - Deposito,08:20,09:10
,,Torino - Deposito,Giovedì,06:07,16:30,277,Airasca - stabilimento sk,To - Cso Vittorio 168-Via,14:30,15:20
,,Torino - Deposito,Giovedì,06:07,16:30,119,Via Oxilia-Cso Giulio Ces,To - viale dei mughetti,06:47,15:50
,,Torino - Deposito,Giovedì,06:07,16:30,277,To - via de sanctis-via c,PAUSA 08:45 -,07:10,12:10
,,Torino - Deposito,Giovedì,06:07,16:30,119,Col - Cso Francia - Via C,TO - cso Francia/via Riet,12:45,13:01
,,Torino - Deposito,Giovedì,06:07,16:30,277,TO - cso Francia/via Riet,Airasca - stabilimento sk,13:01,13:55
,,Torino - Deposito,Giovedì,14:23,23:33,119,Torino - Deposito ................................1...4..:..3..3..... T..o... .-. .v..i.a. .b...o..t.t.i.c..e..l.l.i.-.p..i.a..z..z,TORINO - Autostazione c.so Bolzano ..1..5...:.0...3.... .T..o.. .-. .c..o..r.s..o.. .B..e..l.g..i.o,20:45,21:00
,,Torino - Deposito,Giovedì,14:23,23:33,282,TORINO - Autostazione c.s .................1..5...:.0...3.... .T..o.. .-. .c..o..r..s.o.. .B...e..lg..i.o,Pinerolo - Piazza Cavour,21:00,16:20
,,Torino - Deposito,Giovedì,14:23,23:33,277,Vuoto Airasca - stabilimento sk,Torino - Deposito,22:30,23:23
,,Torino - Deposito,Giovedì,14:23,23:33,277,Airasca - stabilimento sk,To - via de sanctis-via c,17:30,18:21
,,Torino - Deposito,Giovedì,14:23,23:33,119,To - via de sanctis-via c,PAUSA 19:15 -,18:21,20:10
