Corsa,Codice corsa,Codice linea,Partenza,Ora partenza,Arrivo,Ora arrivo,Flag spezzata,Turno
28704,262A,282,TORINO - Autostazione c.so Bolzano,20:03:00,PINEROLO - movicentro,21:14:00,FALSE,Pi0190
28574,262B,282,PINEROLO - movicentro,21:18:00,PEROSA ARG.-Pzza Terzo Alpini,21:50:00,FALSE,Pi0190
28493,281A,275,PEROSA ARG.-Pzza Terzo Alpini,22:15:00,Pinerolo Bivio Sede SAPAV,22:50:00,FALSE,Pi0190
29182,2224,281,PINEROLO - Ist. Immacolata,16:05:00,NONE - Via Roma 18,16:58:00,FALSE,Pi0200
28675,233F,282,None - Stab. Streglio,17:22:00,TORINO - Autostazione c.so Bolzano,18:15:00,FALSE,Pi0200
28705,252D,282,TORINO - Autostazione c.so Bolzano,18:33:00,PINEROLO - movicentro,19:44:00,FALSE,Pi0200
28575,260B,282,PINEROLO - movicentro,20:18:00,PEROSA ARG.-Pzza Terzo Alpini,20:50:00,FALSE,Pi0200
29595,271A,275,PEROSA ARG.-Pzza Terzo Alpini,21:00:00,PINEROLO-stabilimento TN ITALY,21:30:00,FALSE,Pi0200
28490,268C,275,Pinerolo Bivio Sede SAPAV,21:31:00,Villar Perosa Stabilimento SKF,21:55:00,FALSE,Pi0200
28182,283A,275,Villar Perosa Stabilimento SKF,22:25:00,SAN SECONDO bivio BIMA,22:45:00,FALSE,Pi0200
28151,22105,284,SAN SECONDO bivio BIMA,22:45:00,TORRE PELLICE,23:02:00,FALSE,Pi0200
29663,6,278,Virle P. - SP Di Virle - Montegrappa,7:35:00,PINEROLO - Piazza Cavour,8:15:00,FALSE,Pi0210
28617,11B,278,PINEROLO - Stazione FS (Via Brignone),13:30:00,PANCALIERI - scuole medie,14:05:00,FALSE,Pi0210
29183,2229,281,PANCALIERI - scuole medie,14:05:00,PINEROLO - Fronte Stazione FS,14:55:00,FALSE,Pi0210
28095,30016B,283,PINEROLO - Piazza Cavour,15:05:00,CANTALUPA,15:30:00,FALSE,Pi0210
28082,30029,283,CANTALUPA,15:30:00,PINEROLO - Piazza Cavour,15:49:00,FALSE,Pi0210
28528,184D,275,PINEROLO - Piazza Cavour,15:50:00,PEROSA ARG.-Pzza Terzo Alpini,16:20:00,FALSE,Pi0210
28311,182C,281,PEROSA ARG.-Pzza Terzo Alpini,16:35:00,VILLARETTO,16:48:00,FALSE,Pi0210
