DATA,Turno Prog,,Orario Turno,ore Riposo,RIP Giornaliero e SETTIMANALE,Giorno Recupero,,,,,Ora inizio,Ora Fine,Riposo,Turno,Inizio Turno,Fine Turno,,Scolastico,Festivo Infrasettimanale (8),Feriali Lunedì-Venerdì (12345),Lunedì-Venerdì,Sabato (6),Domenica (7),Domenica e Festivi (78),Festivo (8),Natale,Pasqua,Agosto,Agosto Centrali
mer 1 lug 26,To2010,,04:35 - 13:00,13.33.00,GIORNALIERO,,0.00.00,,,03/07,4.35.00,13.00.00,13.33.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gio 2 lug 26,RIP,,RIP,0.00.00,RIP,,0.00.00,,,03/07,0.00.00,0.00.00,11.00.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ven 3 lug 26,DISP,,DISP,35.00.00,SETT. RIDOTTO (REC: 10:00),✅ 04/07,10.00.00,10.00.00,26/07/2026,04/07,0.00.00,0.00.00,35.00.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
sab 4 lug 26,To2090,,14:40 - 23:20,38.40.00,SETT. RIDOTTO (REC: 6:20),#REF!,6.20.00,6.20.00,26/07/2026,#REF!,14.40.00,23.20.00,38.40.00,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dom 5 lug 26,To2070,,12:42 - 21:10,13.22.00,GIORNALIERO,,0.00.00,6.20.00,,#REF!,12.42.00,21.10.00,13.22.00,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
lun 6 lug 26,To2050,,06:58 - 17:55,9.48.00,GIORN. RIDOTTO,,0.00.00,6.20.00,,#REF!,6.58.00,17.55.00,9.48.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
mar 7 lug 26,To2020,,06:05 - 14:02,12.10.00,GIORNALIERO,,0.00.00,6.20.00,,#REF!,6.05.00,14.02.00,12.10.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
mer 8 lug 26,RIP,,RIP,0.00.00,RIP,,0.00.00,6.20.00,,#REF!,0.00.00,0.00.00,9.58.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gio 9 lug 26,To2080,,13:42 - 22:10,47.40.00,REGOLARE,,0.00.00,6.20.00,,#REF!,13.42.00,22.10.00,47.40.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ven 10 lug 26,To2060,,11:40 - 20:10,13.30.00,GIORNALIERO,,0.00.00,6.20.00,,#REF!,11.40.00,20.10.00,13.30.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
sab 11 lug 26,To2040,,08:05 - 16:00,11.55.00,GIORNALIERO,,0.00.00,6.20.00,,#REF!,8.05.00,16.00.00,11.55.00,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dom 12 lug 26,To2030,,07:05 - 15:02,15.05.00,GIORNALIERO,,0.00.00,6.20.00,,#REF!,7.05.00,15.02.00,15.05.00,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
lun 13 lug 26,To2010,AF,AF,0.00.00,RIP,,0.00.00,6.20.00,,#REF!,0.00.00,0.00.00,8.58.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
mar 14 lug 26,RIP,AF,AF,0.00.00,RIP,,0.00.00,6.20.00,,#REF!,0.00.00,0.00.00,24.00.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
mer 15 lug 26,DISP,AF,AF,0.00.00,RIP,,0.00.00,6.20.00,,#REF!,0.00.00,0.00.00,24.00.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gio 16 lug 26,To2090,AF,AF,0.00.00,RIP,,0.00.00,6.20.00,,#REF!,0.00.00,0.00.00,24.00.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ven 17 lug 26,To2070,AF,AF,0.00.00,RIP,,0.00.00,6.20.00,,#REF!,0.00.00,0.00.00,24.00.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
sab 18 lug 26,To2050,AF,AF,0.00.00,RIP,,0.00.00,6.20.00,,#REF!,0.00.00,0.00.00,24.00.00,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dom 19 lug 26,To2020,AF,AF,0.00.00,RIP,,0.00.00,6.20.00,,#REF!,0.00.00,0.00.00,24.00.00,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
lun 20 lug 26,RIP,AF,AF,0.00.00,RIP,,0.00.00,6.20.00,,#REF!,0.00.00,0.00.00,24.00.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
mar 21 lug 26,To2080,AF,AF,0.00.00,RIP,,0.00.00,6.20.00,,#REF!,0.00.00,0.00.00,24.00.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
mer 22 lug 26,To2060,AF,AF,0.00.00,RIP,,0.00.00,6.20.00,,#REF!,0.00.00,0.00.00,24.00.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gio 23 lug 26,To2040,AF,AF,0.00.00,RIP,,0.00.00,6.20.00,,#REF!,0.00.00,0.00.00,24.00.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ven 24 lug 26,To2030,AF,AF,0.00.00,RIP,,0.00.00,6.20.00,,#REF!,0.00.00,0.00.00,24.00.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
sab 25 lug 26,To2010,AF,AF,0.00.00,RIP,,0.00.00,6.20.00,,#REF!,0.00.00,0.00.00,24.00.00,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dom 26 lug 26,RIP,AF,AF,0.00.00,RIP,,0.00.00,6.20.00,,#REF!,0.00.00,0.00.00,24.00.00,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
lun 27 lug 26,DISP,AF,AF,0.00.00,RIP,,0.00.00,6.20.00,,#REF!,0.00.00,0.00.00,24.00.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
mar 28 lug 26,DISP,AF,AF,0.00.00,RIP,,0.00.00,6.20.00,,#REF!,0.00.00,0.00.00,24.00.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
mer 29 lug 26,DISP,AF,AF,0.00.00,RIP,,0.00.00,6.20.00,,#REF!,0.00.00,0.00.00,24.00.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
